uid smoi rep sym_res_dis update host_count sym_count free_sym_count hosted_sym_count sym_infectchance free_sym_infectchance hosted_sym_infectchance sym_val free_sym_val hosted_sym_val host_val cfu
1_10 1 10 500 16600 10000 12534 5818 6716 0.622439 0.514846 0.715646 0.216298 0.165863 0.259989 0.854954 10000
1_10 1 10 500 16700 10000 12580 5770 6810 0.633093 0.535554 0.715737 0.207705 0.154215 0.253027 0.853703 10000
1_10 1 10 500 16800 10000 12573 5741 6832 0.629428 0.533587 0.709965 0.215559 0.16183 0.260709 0.85673 10000
1_10 1 10 500 16900 10000 12727 5839 6888 0.627505 0.536705 0.704475 0.20641 0.151128 0.253273 0.857861 10000
1_10 1 10 500 17000 10000 12552 5795 6757 0.632265 0.523592 0.725467 0.208769 0.149991 0.259179 0.847896 10000
1_10 1 10 500 17100 10000 12627 5876 6751 0.633941 0.528831 0.725428 0.212513 0.158338 0.259667 0.852228 10000
1_10 1 10 500 17200 10000 12676 5802 6874 0.618785 0.523656 0.699078 0.209828 0.153082 0.257724 0.853685 10000
1_10 1 10 500 17300 10000 12480 5670 6810 0.643448 0.54244 0.727547 0.211153 0.154971 0.25793 0.859641 10000
1_10 1 10 500 17400 10000 12585 5894 6691 0.612068 0.516839 0.695954 0.210622 0.161545 0.253854 0.849345 10000
1_10 1 10 500 17500 10000 12441 5707 6734 0.630368 0.53053 0.714979 0.215535 0.164596 0.258706 0.849248 10000
1_10 1 10 500 17600 10000 12589 6004 6585 0.598843 0.501614 0.687493 0.217364 0.167837 0.262522 0.849099 10000
1_10 1 10 500 17700 10000 12596 5813 6783 0.630788 0.528018 0.718861 0.215601 0.161906 0.261618 0.857281 10000
1_10 1 10 500 17800 10000 12734 5909 6825 0.615695 0.509526 0.707615 0.20688 0.149415 0.256632 0.849513 10000
1_10 1 10 500 17900 10000 12506 5720 6786 0.637634 0.538897 0.720861 0.215369 0.160043 0.262005 0.857623 10000
1_10 1 10 500 18000 10000 12519 5677 6842 0.647166 0.546042 0.731071 0.208245 0.154462 0.25287 0.850799 10000
1_10 1 10 500 18100 10000 12623 5750 6873 0.633159 0.536983 0.713621 0.208637 0.156098 0.252592 0.848651 10000
1_10 1 10 500 18200 10000 12585 5852 6733 0.61523 0.51273 0.704319 0.20868 0.151555 0.25833 0.849923 10000
1_10 1 10 500 18300 10000 12645 5828 6817 0.626273 0.526354 0.711695 0.215009 0.160632 0.261497 0.852803 10000
1_10 1 10 500 18400 10000 12578 5725 6853 0.635711 0.529603 0.724354 0.209747 0.155061 0.255432 0.852218 10000
1_10 1 10 500 18500 10000 12616 5787 6829 0.629097 0.521035 0.720669 0.216327 0.161824 0.262513 0.855044 10000
1_10 1 10 500 18600 10000 12485 5842 6643 0.619314 0.520956 0.705813 0.210363 0.156595 0.257648 0.853486 10000
1_10 1 10 500 18700 10000 12696 5967 6729 0.608352 0.503918 0.70096 0.208974 0.156937 0.255118 0.846541 10000
1_10 1 10 500 18800 10000 12455 5533 6922 0.664991 0.569343 0.741447 0.216848 0.164006 0.259085 0.860104 10000
1_10 1 10 500 18900 10000 12648 5760 6888 0.626685 0.527621 0.709526 0.2101 0.155518 0.255744 0.860009 10000
1_10 1 10 500 19000 10000 12560 5861 6699 0.613848 0.514319 0.700927 0.214699 0.160844 0.261817 0.856498 10000
1_10 1 10 500 19100 10000 12598 5815 6783 0.627156 0.526246 0.713665 0.212906 0.159794 0.258438 0.855347 10000
1_10 1 10 500 19200 10000 12531 5732 6799 0.625046 0.526115 0.708451 0.218949 0.165492 0.264016 0.858911 10000
1_10 1 10 500 19300 10000 12555 5821 6734 0.629906 0.519956 0.72495 0.218166 0.165085 0.264051 0.854378 10000
1_10 1 10 500 19400 10000 12635 5852 6783 0.617376 0.520248 0.701173 0.208346 0.159834 0.2502 0.848128 10000
1_10 1 10 500 19500 10000 12532 5766 6766 0.632906 0.529069 0.721396 0.213402 0.158748 0.259978 0.852858 10000
1_10 1 10 500 19600 10000 12562 5716 6846 0.639376 0.534979 0.726541 0.204447 0.145991 0.253253 0.852702 10000
1_10 1 10 500 19700 10000 12557 5778 6779 0.629502 0.531677 0.712881 0.209519 0.154857 0.256109 0.857756 10000
1_10 1 10 500 19800 10000 12688 5818 6870 0.636988 0.539482 0.719562 0.208672 0.152556 0.256194 0.852268 10000
1_10 1 10 500 19900 10000 12549 5813 6736 0.611079 0.514977 0.694013 0.213987 0.166628 0.254857 0.857282 10000
1_10 1 10 500 20000 10000 12648 5944 6704 0.600196 0.502422 0.686885 0.21654 0.168454 0.259174 0.8484 10000
1_11 1 11 500 0 10000 1 1 0 0 0 -nan 0 0 -nan 0 10000
1_11 1 11 500 100 10000 12456 8026 4430 0.296082 0.183123 0.500734 -0.266761 -0.165789 -0.449696 -0.0892085 10000
1_11 1 11 500 200 10000 13118 7493 5625 0.423992 0.226698 0.686807 -0.37534 -0.173171 -0.644647 -0.181739 10000
1_11 1 11 500 300 10000 13075 7610 5465 0.410198 0.21701 0.679211 -0.361174 -0.160736 -0.640283 -0.192923 10000
1_11 1 11 500 400 10000 13008 7861 5147 0.282807 0.235436 0.355156 0.170576 0.137126 0.221664 0.822311 10000
1_11 1 11 500 500 10000 12801 6204 6597 0.559869 0.473692 0.640911 0.209574 0.159851 0.256335 0.85574 10000
1_11 1 11 500 600 10000 12551 5719 6832 0.631006 0.527299 0.717819 0.208091 0.152731 0.254432 0.849674 10000
1_11 1 11 500 700 10000 12545 5875 6670 0.611337 0.518335 0.693255 0.210371 0.156122 0.258153 0.853245 10000
1_11 1 11 500 800 10000 12529 5784 6745 0.626855 0.520071 0.718424 0.206526 0.149994 0.255003 0.855922 10000
1_11 1 11 500 900 10000 12614 5852 6762 0.618848 0.52076 0.703736 0.214905 0.164927 0.258157 0.860179 10000
1_11 1 11 500 1000 10000 12700 5787 6913 0.627875 0.536631 0.704256 0.205287 0.149284 0.252169 0.850618 10000
1_11 1 11 500 1100 10000 12611 5723 6888 0.627122 0.529426 0.708293 0.203483 0.150161 0.247787 0.84978 10000
1_11 1 11 500 1200 10000 12423 5603 6820 0.638819 0.545581 0.71542 0.216941 0.165479 0.259219 0.852618 10000
1_11 1 11 500 1300 10000 12634 5845 6789 0.620433 0.512002 0.713788 0.213495 0.161158 0.258555 0.860493 10000
1_11 1 11 500 1400 10000 12620 5750 6870 0.629061 0.530418 0.711623 0.213071 0.156937 0.260053 0.85273 10000
1_11 1 11 500 1500 10000 12476 5630 6846 0.646509 0.543549 0.731182 0.206867 0.152742 0.251378 0.842459 10000
