uid smoi rep sr update host_count sym_count free_sym_count hosted_sym_count sym_infectchance free_sym_infectchance hosted_sym_infectchance sym_val free_sym_val hosted_sym_val host_val cfu
1_10 1 10 500 16600 10000 12579 5778 6801 0.633724 0.535694 0.717008 0.210084 0.164525 0.248791 0.852469 10000
1_10 1 10 500 16700 10000 12720 5838 6882 0.620659 0.521798 0.704524 0.205475 0.149864 0.252649 0.85113 10000
1_10 1 10 500 16800 10000 12589 5764 6825 0.636171 0.540376 0.717074 0.210315 0.156181 0.256033 0.844684 10000
1_10 1 10 500 16900 10000 12641 5903 6738 0.621707 0.513998 0.716068 0.212591 0.161284 0.257539 0.851399 10000
1_10 1 10 500 17000 10000 12444 5597 6847 0.644506 0.555617 0.717168 0.210242 0.157071 0.253705 0.846717 10000
1_10 1 10 500 17100 10000 12526 5799 6727 0.62726 0.521391 0.718525 0.214131 0.160663 0.260223 0.851481 10000
1_10 1 10 500 17200 10000 12590 5823 6767 0.61924 0.520323 0.704358 0.214498 0.162858 0.258935 0.845242 10000
1_10 1 10 500 17300 10000 12542 5770 6772 0.630809 0.532792 0.714322 0.212198 0.155867 0.260194 0.852903 10000
1_10 1 10 500 17400 10000 12643 5747 6896 0.637315 0.528222 0.728231 0.211254 0.148366 0.263663 0.854303 10000
1_10 1 10 500 17500 10000 12593 5886 6707 0.621605 0.519717 0.711022 0.211982 0.15934 0.25818 0.847821 10000
1_10 1 10 500 17600 10000 12578 5741 6837 0.637488 0.53871 0.720432 0.211162 0.154789 0.258499 0.850944 10000
1_10 1 10 500 17700 10000 12558 5715 6843 0.637327 0.53569 0.722211 0.206849 0.150835 0.25363 0.851195 10000
1_10 1 10 500 17800 10000 12667 5825 6842 0.618261 0.517095 0.70439 0.214676 0.164079 0.257752 0.853906 10000
1_10 1 10 500 17900 10000 12429 5709 6720 0.632225 0.527026 0.721597 0.213821 0.158291 0.260996 0.854392 10000
1_10 1 10 500 18000 10000 12492 5758 6734 0.625446 0.527483 0.709211 0.211919 0.159091 0.25709 0.862508 10000
1_10 1 10 500 18100 10000 12586 5765 6821 0.628169 0.524538 0.715756 0.20915 0.154509 0.255331 0.849048 10000
