uid smoi rep sym_res_dis update host_count sym_count free_sym_count hosted_sym_count sym_infectchance free_sym_infectchance hosted_sym_infectchance sym_val free_sym_val hosted_sym_val host_val cfu
1_10 1 10 500 12500 10000 12531 5915 6616 0.60607 0.49454 0.705783 0.216158 0.162624 0.264021 0.854173 10000
1_10 1 10 500 12600 10000 12613 5877 6736 0.615697 0.518569 0.700439 0.213289 0.162891 0.25726 0.855201 10000
1_10 1 10 500 12700 10000 12607 5825 6782 0.628243 0.536053 0.707424 0.217337 0.175194 0.253533 0.855189 10000
1_10 1 10 500 12800 10000 12596 5752 6844 0.630238 0.52497 0.71871 0.208828 0.151973 0.256611 0.852192 10000
1_10 1 10 500 12900 10000 12511 5590 6921 0.655867 0.560465 0.732921 0.215563 0.160963 0.259663 0.855263 10000
1_10 1 10 500 13000 10000 12560 5728 6832 0.645734 0.551856 0.724442 0.208849 0.151188 0.257192 0.853091 10000
1_10 1 10 500 13100 10000 12662 5811 6851 0.634347 0.538556 0.715596 0.213088 0.161988 0.256431 0.857944 10000
1_10 1 10 500 13200 10000 12676 5860 6816 0.6239 0.525182 0.708772 0.212624 0.162456 0.255757 0.85834 10000
1_10 1 10 500 13300 10000 12564 5729 6835 0.625595 0.530974 0.704904 0.20819 0.154357 0.253313 0.852161 10000
1_10 1 10 500 13400 10000 12487 5688 6799 0.637795 0.543618 0.716584 0.209754 0.156068 0.254667 0.851932 10000
1_10 1 10 500 13500 10000 12515 5867 6648 0.613613 0.512391 0.702944 0.210534 0.155233 0.259338 0.852853 10000
1_10 1 10 500 13600 10000 12578 5744 6834 0.631932 0.529582 0.717957 0.210828 0.155056 0.257704 0.846958 10000
1_10 1 10 500 13700 10000 12522 5610 6912 0.643324 0.544355 0.723651 0.210611 0.155155 0.255621 0.848477 10000
1_10 1 10 500 13800 10000 12691 5861 6830 0.614934 0.510812 0.704284 0.207247 0.152657 0.254092 0.851268 10000
1_10 1 10 500 13900 10000 12570 5688 6882 0.642638 0.544313 0.723905 0.209128 0.154574 0.254217 0.847945 10000
1_10 1 10 500 14000 10000 12439 5731 6708 0.633539 0.541278 0.712362 0.217651 0.166021 0.26176 0.858213 10000
1_10 1 10 500 14100 10000 12452 5715 6737 0.634074 0.537057 0.716373 0.214164 0.161804 0.258581 0.854308 10000
1_10 1 10 500 14200 10000 12515 5693 6822 0.63219 0.531782 0.71598 0.207555 0.156144 0.250459 0.852498 10000
1_10 1 10 500 14300 10000 12686 5952 6734 0.617018 0.518902 0.70374 0.207843 0.15595 0.25371 0.840988 10000
1_10 1 10 500 14400 10000 12790 5941 6849 0.62464 0.51375 0.720829 0.204126 0.148116 0.252711 0.857384 10000
1_10 1 10 500 14500 10000 12575 5768 6807 0.6314 0.531683 0.715896 0.216754 0.162165 0.263011 0.854442 10000
1_10 1 10 500 14600 10000 12553 5744 6809 0.63308 0.532357 0.718049 0.212181 0.159504 0.256619 0.850846 10000
1_10 1 10 500 14700 10000 12593 5908 6685 0.620319 0.520014 0.708965 0.211364 0.157754 0.258743 0.852101 10000
1_10 1 10 500 14800 10000 12579 5791 6788 0.635261 0.532712 0.722748 0.208512 0.153503 0.255442 0.849548 10000
1_10 1 10 500 14900 10000 12619 5824 6795 0.624602 0.525341 0.709679 0.213651 0.161522 0.258331 0.852502 10000
1_10 1 10 500 15000 10000 12551 5813 6738 0.621842 0.515151 0.713886 0.215301 0.168154 0.255975 0.852692 10000
1_10 1 10 500 15100 10000 12631 5852 6779 0.616433 0.517726 0.701643 0.208942 0.157902 0.253001 0.85036 10000
1_10 1 10 500 15200 10000 12537 5762 6775 0.632149 0.532409 0.716975 0.219347 0.167201 0.263696 0.863095 10000
1_10 1 10 500 15300 10000 12631 5792 6839 0.626181 0.53351 0.704666 0.215641 0.169259 0.254923 0.853064 10000
1_10 1 10 500 15400 10000 12619 5860 6759 0.61788 0.515837 0.70635 0.213719 0.158236 0.261822 0.85233 10000
1_10 1 10 500 15500 10000 12591 5770 6821 0.628916 0.532399 0.71056 0.213137 0.158867 0.259044 0.853233 10000
1_10 1 10 500 15600 10000 12546 5779 6767 0.629234 0.526247 0.717184 0.209594 0.156623 0.254832 0.850038 10000
1_10 1 10 500 15700 10000 12545 5624 6921 0.648312 0.541473 0.73513 0.209007 0.150769 0.256332 0.849081 10000
1_10 1 10 500 15800 10000 12543 5705 6838 0.644686 0.543945 0.728735 0.20737 0.153487 0.252326 0.853235 10000
1_10 1 10 500 15900 10000 12606 5772 6834 0.633601 0.518907 0.730471 0.212778 0.15439 0.262093 0.84697 10000
1_10 1 10 500 16000 10000 12494 5660 6834 0.638067 0.544466 0.715588 0.209828 0.151667 0.257997 0.85003 10000
1_10 1 10 500 16100 10000 12531 5776 6755 0.628742 0.528771 0.714224 0.210185 0.15718 0.255508 0.849046 10000
1_10 1 10 500 16200 10000 12535 5787 6748 0.631492 0.524847 0.72295 0.210573 0.157292 0.256266 0.847649 10000
1_10 1 10 500 16300 10000 12620 5801 6819 0.634243 0.526364 0.726016 0.207404 0.15114 0.255269 0.847669 10000
1_10 1 10 500 16400 10000 12697 5818 6879 0.626727 0.530051 0.708491 0.209474 0.155577 0.255059 0.849651 10000
