uid smoi rep sr update host_count sym_count free_sym_count hosted_sym_count sym_infectchance free_sym_infectchance hosted_sym_infectchance sym_val free_sym_val hosted_sym_val host_val cfu
1_10 1 10 500 10600 10000 13212 5741 7471 0.63618 0.527674 0.719561 0.250865 0.18605 0.300672 0.856285 10000
1_10 1 10 500 10700 10000 13152 5779 7373 0.638202 0.533074 0.720601 0.249725 0.188495 0.297716 0.860257 10000
1_10 1 10 500 10800 10000 13133 5817 7316 0.623258 0.529759 0.697599 0.253259 0.200074 0.295547 0.855197 10000
1_10 1 10 500 10900 10000 13214 5825 7389 0.632676 0.527453 0.715627 0.246441 0.182765 0.296639 0.862144 10000
1_10 1 10 500 11000 10000 13182 5701 7481 0.645914 0.538388 0.727855 0.246909 0.183888 0.294935 0.85676 10000
1_10 1 10 500 11100 10000 13143 5684 7459 0.644546 0.541367 0.723172 0.247865 0.187618 0.293775 0.867868 10000
1_10 1 10 500 11200 10000 13060 5668 7392 0.637629 0.544796 0.70881 0.251274 0.191342 0.297228 0.866756 10000
1_10 1 10 500 11300 10000 13235 5799 7436 0.634842 0.533786 0.713651 0.249716 0.1853 0.299951 0.867363 10000
1_10 1 10 500 11400 10000 13282 5751 7531 0.644941 0.529318 0.733236 0.244788 0.180226 0.294091 0.859293 10000
1_10 1 10 500 11500 10000 13083 5598 7485 0.663183 0.560307 0.740124 0.251132 0.186679 0.299335 0.867757 10000
1_10 1 10 500 11600 10000 13192 5633 7559 0.64978 0.547283 0.726162 0.24946 0.189526 0.294123 0.854894 10000
1_10 1 10 500 11700 10000 13150 5747 7403 0.634028 0.527294 0.716887 0.247418 0.18206 0.298155 0.862426 10000
1_10 1 10 500 11800 10000 13222 5753 7469 0.628376 0.522895 0.709622 0.245477 0.185818 0.29143 0.859794 10000
1_10 1 10 500 11900 10000 13310 5852 7458 0.619406 0.521188 0.696474 0.252143 0.193529 0.298135 0.860249 10000
1_10 1 10 500 12000 10000 13312 5868 7444 0.614039 0.50936 0.696555 0.247064 0.182697 0.297803 0.859885 10000
1_10 1 10 500 12100 10000 13165 5836 7329 0.626026 0.523957 0.707303 0.244979 0.189339 0.289285 0.851718 10000
1_10 1 10 500 12200 10000 13149 5736 7413 0.627841 0.528526 0.704688 0.249929 0.186201 0.29924 0.860394 10000
1_10 1 10 500 12300 10000 13350 5859 7491 0.615968 0.502977 0.704344 0.241667 0.171704 0.296387 0.858235 10000
1_10 1 10 500 12400 10000 13273 5823 7450 0.621974 0.519879 0.701773 0.252186 0.192217 0.299059 0.858424 10000
1_10 1 10 500 12500 10000 13164 5774 7390 0.640514 0.509237 0.743084 0.248021 0.181072 0.30033 0.854256 10000
1_10 1 10 500 12600 10000 13150 5787 7363 0.619527 0.508972 0.706418 0.247824 0.183405 0.298454 0.859358 10000
1_10 1 10 500 12700 10000 13136 5744 7392 0.630356 0.52747 0.710304 0.246066 0.185393 0.293212 0.848781 10000
1_10 1 10 500 12800 10000 13105 5605 7500 0.645406 0.537935 0.725724 0.249274 0.185613 0.296849 0.861018 10000
1_10 1 10 500 12900 10000 13278 5884 7394 0.624246 0.505203 0.718978 0.247738 0.180056 0.301597 0.86044 10000
1_10 1 10 500 13000 10000 13231 5899 7332 0.627634 0.514419 0.718721 0.252494 0.186784 0.305362 0.86802 10000
1_10 1 10 500 13100 10000 13294 5890 7404 0.610602 0.508261 0.692016 0.238634 0.170905 0.292514 0.86007 10000
1_10 1 10 500 13200 10000 13280 5846 7434 0.623366 0.514747 0.708783 0.241616 0.177146 0.292315 0.85069 10000
1_10 1 10 500 13300 10000 13200 5812 7388 0.621514 0.512029 0.707643 0.241434 0.174918 0.293761 0.851039 10000
1_10 1 10 500 13400 10000 13250 5781 7469 0.63185 0.526988 0.713013 0.244599 0.179823 0.294735 0.866278 10000
1_10 1 10 500 13500 10000 13361 5902 7459 0.623708 0.512228 0.711917 0.241989 0.176728 0.293628 0.860539 10000
1_10 1 10 500 13600 10000 13213 5781 7432 0.639171 0.536649 0.718917 0.245228 0.180333 0.295707 0.861663 10000
